JobID|JobName|State|ExitCode|Submit|Start|End|Elapsed|AllocCPUS|NNodes|NodeList|TotalCPU|CPUTime|MaxRSS
70217_60|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:38:27|2026-07-19T19:38:59|00:00:32|28|1|sn075|00:34.294|00:14:56|
70217_60.batch|batch|COMPLETED|0:0|2026-07-19T19:38:27|2026-07-19T19:38:27|2026-07-19T19:38:59|00:00:32|28|1|sn075|00:34.292|00:14:56|0.46G
70217_60.extern|extern|COMPLETED|0:0|2026-07-19T19:38:27|2026-07-19T19:38:27|2026-07-19T19:38:59|00:00:32|28|1|sn075|00:00.001|00:14:56|0.00G
70217_61|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:38:27|2026-07-19T19:38:59|00:00:32|28|1|sn076|00:34.697|00:14:56|
70217_61.batch|batch|COMPLETED|0:0|2026-07-19T19:38:27|2026-07-19T19:38:27|2026-07-19T19:38:59|00:00:32|28|1|sn076|00:34.695|00:14:56|0.47G
70217_61.extern|extern|COMPLETED|0:0|2026-07-19T19:38:27|2026-07-19T19:38:27|2026-07-19T19:38:59|00:00:32|28|1|sn076|00:00.001|00:14:56|0.00G
70217_62|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:38:27|2026-07-19T19:39:02|00:00:35|28|1|sn023|00:36.864|00:16:20|
70217_62.batch|batch|COMPLETED|0:0|2026-07-19T19:38:27|2026-07-19T19:38:27|2026-07-19T19:39:02|00:00:35|28|1|sn023|00:36.862|00:16:20|0.47G
70217_62.extern|extern|COMPLETED|0:0|2026-07-19T19:38:27|2026-07-19T19:38:27|2026-07-19T19:39:02|00:00:35|28|1|sn023|00:00.001|00:16:20|0.00G
70217_63|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:38:27|2026-07-19T19:39:00|00:00:33|28|1|sn141|00:35.379|00:15:24|
70217_63.batch|batch|COMPLETED|0:0|2026-07-19T19:38:27|2026-07-19T19:38:27|2026-07-19T19:39:00|00:00:33|28|1|sn141|00:35.377|00:15:24|0.47G
70217_63.extern|extern|COMPLETED|0:0|2026-07-19T19:38:27|2026-07-19T19:38:27|2026-07-19T19:39:00|00:00:33|28|1|sn141|00:00.001|00:15:24|0.00G
70217_64|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:38:27|2026-07-19T19:39:00|00:00:33|28|1|sn150|00:35.363|00:15:24|
70217_64.batch|batch|COMPLETED|0:0|2026-07-19T19:38:27|2026-07-19T19:38:27|2026-07-19T19:39:00|00:00:33|28|1|sn150|00:35.361|00:15:24|0.45G
70217_64.extern|extern|COMPLETED|0:0|2026-07-19T19:38:27|2026-07-19T19:38:27|2026-07-19T19:39:00|00:00:33|28|1|sn150|00:00.001|00:15:24|0.00G
70217_65|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:04|2026-07-19T19:39:38|00:00:34|28|1|sn078|00:36.221|00:15:52|
70217_65.batch|batch|COMPLETED|0:0|2026-07-19T19:39:04|2026-07-19T19:39:04|2026-07-19T19:39:38|00:00:34|28|1|sn078|00:36.219|00:15:52|0.46G
70217_65.extern|extern|COMPLETED|0:0|2026-07-19T19:39:04|2026-07-19T19:39:04|2026-07-19T19:39:38|00:00:34|28|1|sn078|00:00.001|00:15:52|0.00G
70217_66|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:04|2026-07-19T19:39:37|00:00:33|28|1|sn097|00:35.885|00:15:24|
70217_66.batch|batch|COMPLETED|0:0|2026-07-19T19:39:04|2026-07-19T19:39:04|2026-07-19T19:39:37|00:00:33|28|1|sn097|00:35.883|00:15:24|0.50G
70217_66.extern|extern|COMPLETED|0:0|2026-07-19T19:39:04|2026-07-19T19:39:04|2026-07-19T19:39:37|00:00:33|28|1|sn097|00:00.001|00:15:24|0.00G
70217_67|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:04|2026-07-19T19:39:37|00:00:33|28|1|sn105|00:35.773|00:15:24|
70217_67.batch|batch|COMPLETED|0:0|2026-07-19T19:39:04|2026-07-19T19:39:04|2026-07-19T19:39:37|00:00:33|28|1|sn105|00:35.771|00:15:24|0.46G
70217_67.extern|extern|COMPLETED|0:0|2026-07-19T19:39:04|2026-07-19T19:39:04|2026-07-19T19:39:37|00:00:33|28|1|sn105|00:00.001|00:15:24|0.00G
70217_68|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:04|2026-07-19T19:39:37|00:00:33|28|1|sn146|00:35.644|00:15:24|
70217_68.batch|batch|COMPLETED|0:0|2026-07-19T19:39:04|2026-07-19T19:39:04|2026-07-19T19:39:37|00:00:33|28|1|sn146|00:35.642|00:15:24|0.48G
70217_68.extern|extern|COMPLETED|0:0|2026-07-19T19:39:04|2026-07-19T19:39:04|2026-07-19T19:39:37|00:00:33|28|1|sn146|00:00.001|00:15:24|0.00G
70217_69|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:04|2026-07-19T19:39:36|00:00:32|28|1|sn094|00:34.732|00:14:56|
70217_69.batch|batch|COMPLETED|0:0|2026-07-19T19:39:04|2026-07-19T19:39:04|2026-07-19T19:39:36|00:00:32|28|1|sn094|00:34.730|00:14:56|0.46G
70217_69.extern|extern|COMPLETED|0:0|2026-07-19T19:39:04|2026-07-19T19:39:04|2026-07-19T19:39:36|00:00:32|28|1|sn094|00:00.001|00:14:56|0.00G
70217_70|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:04|2026-07-19T19:39:37|00:00:33|28|1|sn095|00:35.717|00:15:24|
70217_70.batch|batch|COMPLETED|0:0|2026-07-19T19:39:04|2026-07-19T19:39:04|2026-07-19T19:39:37|00:00:33|28|1|sn095|00:35.715|00:15:24|0.46G
70217_70.extern|extern|COMPLETED|0:0|2026-07-19T19:39:04|2026-07-19T19:39:04|2026-07-19T19:39:37|00:00:33|28|1|sn095|00:00.001|00:15:24|0.00G
70217_71|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:04|2026-07-19T19:39:36|00:00:32|28|1|sn144|00:34.839|00:14:56|
70217_71.batch|batch|COMPLETED|0:0|2026-07-19T19:39:04|2026-07-19T19:39:04|2026-07-19T19:39:36|00:00:32|28|1|sn144|00:34.837|00:14:56|0.44G
70217_71.extern|extern|COMPLETED|0:0|2026-07-19T19:39:04|2026-07-19T19:39:04|2026-07-19T19:39:36|00:00:32|28|1|sn144|00:00.001|00:14:56|0.00G
